Approximate vocal-track candidates from CLAP text/audio contrast
Database: C:\db\abstracted.sqlite
Tracks with CLAP embeddings: 61355
Threshold: top 5% score >= -0.033566
Selected: 3068
Score = max(vocal prompt similarity) - max(instrumental prompt similarity)

score	id	title	maest_top_labels	path
0.114251	43666	Nas - I Can ( F# m _ 95 Bpm _ Acapella )	Bass Music, Bounce, Gangsta	M:/Volumes/Albums/Hutch Top 10 - April Showers/Nas - I Can ( F# m _ 95 Bpm _ Acapella ).wav
0.114215	39849	Italomario - Darkness	EBM, Electro, New Beat	M:/Volumes/Abstracted/30001-40000/X2. Italomario - Darkness.flac
0.113784	34230	DJ Trajic - Soul Patrol	House, Hard House, Deep House	M:/Volumes/Abstracted/30001-40000/DJ Trajic - Soul Patrol.wav
0.113399	59329	Kwartz - Show Me That Light (Cleric Vocal Tool)	Drum n Bass, Techno, Experimental	M:/Volumes/Avantgarde/MP3/Various Artists - SHOW ME THAT LIGHT EP [INC. CLERIC REMIX] [2018]/05 - Kwartz - Show Me That Light (Cleric Vocal Tool).mp3
0.112896	18923	Trent Voyage - Aquamarine	House, Deep House, Progressive House	M:/Volumes/Abstracted/10001-20000/Trent Voyage - Aquamarine.wav
0.112465	31627	222samples octave FX-4	Experimental, Synth-pop, Chiptune	M:/Volumes/Abstracted/30001-40000/222samples octave FX-4.wav
0.111011	38311	Sade - King Of Sorrow (Guru Mix) [SDA 003]	Contemporary R&B, Downtempo, Soul	M:/Volumes/Abstracted/30001-40000/Sade - King Of Sorrow (Guru Mix) [SDA 003].wav
0.110662	23432	Schwefelgelb - Fokus	EBM, Techno, Industrial	M:/Volumes/Abstracted/20001-30000/Fokus.flac
0.110328	37136	Navechno - 909 Mind	Acid, Acid House, Techno	M:/Volumes/Abstracted/30001-40000/Navechno - 909 Mind.flac
0.110257	13061	EdiP/ Luna Ash - Get Freaky	Bassline, House, Tech House	M:/Volumes/Abstracted/10001-20000/EdiP - Get Freaky (11 Mix).flac
0.108602	32287	D.o.t. - Another Round	House, Electro House, Bassline	M:/Volumes/Abstracted/30001-40000/Another Round.flac
0.108542	32316	Any Act - Krutoi Assid Break	Electro, Acid, Breaks	M:/Volumes/Abstracted/30001-40000/Any Act - Krutoi Assid Break.flac
0.107392	53670	Quilla - Biological Clock	Experimental, Downtempo, IDM	M:/Volumes/Avantgarde/MP3/Various Artists - BEAUTIFUL HYBRID REMIX PROJECT PART TWO [2020]/01 - Quilla - Biological Clock.mp3
0.106855	28607	The Dirtbombs - Sharevari (Original Dirtbombs Version)	Post-Punk, New Wave, New Wave	M:/Volumes/Abstracted/20001-30000/The Dirtbombs - Sharevari (Original Dirtbombs Version).wav
0.106739	39881	Yello - Oh Yeah (Indian Summer version)	Electro, Synth-pop, Techno	M:/Volumes/Abstracted/30001-40000/Yello - Oh Yeah (Indian Summer version).flac
0.106522	10545	Alexander Skancke - Brother	House, Speed Garage, Tech House	M:/Volumes/Abstracted/10001-20000/Alexander Skancke - Brother.flac
0.106088	61824	Ethan Fawkes - Let's Go James	Techno, Hardcore, Hard Techno	M:/Volumes/Avantgarde/MP3/Various Artists Pt.1 - SICK PLANET PANKOW PRESENTS SPOOKY NITRO 2K19 [2019]/04 - Ethan Fawkes - Let's Go James.mp3
0.105478	9363	Valleyk - Keep In Mind	Electro, Synth-pop, Synthwave	M:/Volumes/Abstracted/00001-10000/Valleyk - Keep In Mind (Original Mix).flac
0.105135	61442	Sonny Fodera, Gene Farris - We Work It (Sacha Robotti Remix)	House, Electro House, Bassline	M:/Volumes/Avantgarde/MP3/Various Artists - We Work It (Remixes)/02 - Sonny Fodera, Gene Farris - We Work It (Sacha Robotti Remix).mp3
0.104694	20414	Al-Dos Band - Confusion	Disco, Soul, Funk	M:/Volumes/Abstracted/20001-30000/Al-Dos Band - Confusion.wav
0.104269	55009	Frustration - Dying City	Post-Punk, Coldwave, New Wave	M:/Volumes/Avantgarde/MP3/Various Artists - DYING CITIES REMIX [2018]/04 - Frustration - Dying City.mp3
0.104179	15140	Lemonade Market - Supermarket Woman	Chanson, Electro, Downtempo	M:/Volumes/Abstracted/10001-20000/Lemonade Market - Supermarket Woman.flac
